Title,DOI,Citations
Comparing Multi-label Classification with Reinforcement Learning for Summarisation of Time-series Data,10.3115/v1/P14-1116,10
Learning Polylingual Topic Models from Code-Switched Social Media Documents,10.3115/v1/P14-2110,10
"Modelling Events through Memory-based, Open-IE Patterns for Abstractive Summarization",10.3115/v1/P14-1084,10
A Joint Graph Model for Pinyin-to-Chinese Conversion with Typo Correction,10.3115/v1/P14-1142,9
Fast Easy Unsupervised Domain Adaptation with Marginalized Structured Dropout,10.3115/v1/P14-2088,9
"Learning Word Sense Distributions, Detecting Unattested Senses and Identifying Novel Senses Using Topic Models",10.3115/v1/P14-1025,9
Tagging The Web: Building A Robust Web Tagger with Neural Network,10.3115/v1/P14-1014,9
Joint Syntactic and Semantic Parsing with Combinatory Categorial Grammar,10.3115/v1/P14-1112,9
Automatic Detection of Machine Translated Text and Translation Quality Estimation,10.3115/v1/P14-2048,8
Experiments with crowdsourced re-annotation of a POS tagging data set,10.3115/v1/P14-2062,8
Generalized Character-Level Spelling Error Correction,10.3115/v1/P14-2027,8
Automatically constructing Wordnet Synsets,10.3115/v1/P14-2018,8
An Exploration of Embeddings for Generalized Phrases,10.3115/v1/P14-3006,8
Validating and Extending Semantic Knowledge Bases using Video Games with a Purpose,10.3115/v1/P14-1122,8
Measuring metaphoricity,10.3115/v1/P14-2121,8
How much do word embeddings encode about syntax?,10.3115/v1/P14-2133,8
XMEANT: Better semantic MT evaluation without reference translations,10.3115/v1/P14-2124,8
Omni-word Feature and Soft Constraint for Chinese Relation Extraction,10.3115/v1/P14-1054,8
Kneser-Ney Smoothing on Expected Counts,10.3115/v1/P14-1072,8
Gaussian Processes for Natural Language Processing,10.3115/v1/P14-6001,8
On the Elements of an Accurate Tree-to-String Machine Translation System,10.3115/v1/P14-2024,7
Wikification and Beyond: The Challenges of Entity and Concept Grounding,10.3115/v1/P14-6004,7
Perplexity on Reduced Corpora,10.3115/v1/P14-1075,7
Optimizing Segmentation Strategies for Simultaneous Speech Translation,10.3115/v1/P14-2090,7
DKPro TC: A Java-based Framework for Supervised Learning Experiments on Textual Data,10.3115/v1/P14-5011,7
Weak semantic context helps phonetic learning in a model of infant language acquisition,10.3115/v1/P14-1101,7
How to make words with vectors: Phrase generation in distributional semantics,10.3115/v1/P14-1059,7
A Study of Concept-based Weighting Regularization for Medical Records Search,10.3115/v1/P14-1057,7
Learning Soft Linear Constraints with Application to Citation Field Extraction,10.3115/v1/P14-1056,7
Citation Resolution: A method for evaluating context-based citation recommendation systems,10.3115/v1/P14-2059,7
Negation Focus Identification with Contextual Discourse Information,10.3115/v1/P14-1049,7
Assessing the Discourse Factors that Influence the Quality of Machine Translation,10.3115/v1/P14-2047,7
I’m a Belieber: Social Roles via Self-identification and Conceptual Attributes,10.3115/v1/P14-2030,7
ConnotationWordNet: Learning Connotation over the Word+Sense Network,10.3115/v1/P14-1145,7
New Directions in Vector Space Models of Meaning,10.3115/v1/P14-6005,7
Are Two Heads Better than One? Crowdsourced Translation via a Two-Step Collaboration of Non-Professional Translators and Editors,10.3115/v1/P14-1107,7
Combining Word Patterns and Discourse Markers for Paradigmatic Relation Classification,10.3115/v1/P14-2086,7
Entities’ Sentiment Relevance,10.3115/v1/P14-2015,6
Refinements to Interactive Translation Prediction Based on Search Graphs,10.3115/v1/P14-2094,6
Hippocratic Abbreviation Expansion,10.3115/v1/P14-2060,6
Learning to Predict Distributions of Words Across Domains,10.3115/v1/P14-1058,6
Sentence Level Dialect Identification for Machine Translation System Selection,10.3115/v1/P14-2125,6
A Sense-Based Translation Model for Statistical Machine Translation,10.3115/v1/P14-1137,6
Product Feature Mining: Semantic Clues versus Syntactic Constituents,10.3115/v1/P14-1032,6
Spectral Unsupervised Parsing with Additive Tree Metrics,10.3115/v1/P14-1100,6
Automatic prediction of aspectual class of verbs in context,10.3115/v1/P14-2085,6
Modelling function words improves unsupervised word segmentation,10.3115/v1/P14-1027,6
